# pairs.txt — cum pair-mode (MODE 2 ONLY, Chu chot 2026-09-15).
# Dong bat dau bang # la comment. Dinh dang 1 dong:
#   0xTokenAddress # SYMBOL | vetted YYYY-MM-DD | tax b/s | owner ... | note
# Bot CHI doc "vetted YYYY-MM-DD". Thieu ngay -> CHUA VET -> khong sim.
# Bot van tu do lai tax bang revm (pairs_vet_task, moi 600s) va loai dong nao
# tax>0/honeypot (log pair.vet_fail) - day la luoi an toan, KHONG thay vet tay.
#
# NHOM A - dien "vetted" san: token lon, Binance-Peg hoac du an lau nam, khong
# tax/honeypot/cooldown theo hieu biet cong khai. Chu van nen mo DexScreener
# xem volume pool V2 truoc khi len live (nhieu token lon volume nam o V3).
# NHOM B - de trong "vetted": GoPlus REVIEW hoac token meme/four.meme (duoi
# 4444) - Chu tu doc source BscScan roi dien.
# NHOM C - da XOA khoi file: GoPlus FAIL (pausable/cooldown/take-back-owner)
# hoac token co reflection/tax lich su. Ghi lai o cuoi file de doi chieu.
#
# ===== NHOM A: dien san vetted 2026-09-16 =====
#
# ===== NHOM B: CHUA VET - Chu doc source BscScan (GoPlus REVIEW hoac meme) =====
#
# ===== NHOM C: DA XOA (khong phai dong du lieu, chi ghi nho) =====
# 0x924fa68a0FC644485b8df8AbfA0A41C2e7744444  币安人生   GoPlus FAIL transfer_pausable
# 0x08ba0619b1e7A582E0BCe5BBE9843322C954C340  BMON       GoPlus FAIL trading_cooldown (anti-MEV)
# 0x5Ac52EE5b2a633895292Ff6d8A89bB9190451587  BSCX       GoPlus FAIL can_take_back_ownership, hidden_owner
# 0xc748673057861a797275CD8A068AbB95A902e8de  BabyDoge   tax/anti_whale (reflection)
# 0xdB8D30b74bf098aF214e862C90E647bbB1fcC58c  BABYCAKE   reflection token, tax
# 0x0DF0587216a4a1bB7d5082fdc491d93d2dD4B413  Cheems     tung co tax, owner active
# 0x32B407ee915432Be6D3F168bc1EfF2a6F8b2034C  HODL       reflection token, tax
# (17 dong FAIL con lai trong bang vet_goplus.sh cua Code: Chu doi chieu
#  state/pairs_goplus.tsv va xoa them neu thuoc nhom B o tren)0xeCCBb861c0dda7eFd964010085488B69317e4444 # 龙虾 | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=28262 ge_min=11927 vol_bnb=11390 reserve=2436bnb contract=Token
0x55d398326f99059fF775485246999027B3197955 # USDT | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=52619 BNB, quote asset
0x000Ae314E2A2172a039B26378814C252734f556A # ASTER | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=58 BNB, token moi 2025 - Chu xac nhan lai owner
0x92aa03137385F18539301349dcfC9EbC923fFb10 # SKYAI | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=4375 BNB, GoPlus PASS
0x6894CDe390a3f51155ea41Ed24a33A4827d3063D # CAT | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=3799 BNB
0x6bdcCe4A559076e37755a78Ce0c06214E59e4444 # B | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=2072 BNB, four.meme
0xd5eaAaC47bD1993d661bc087E15dfb079a7f3C19 # KOMA | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=1823 BNB
0x82Ec31D69b3c289E541b50E30681FD1ACAd24444 # 哈基米 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=1493 BNB, four.meme
0x0A43fC31a73013089DF59194872Ecae4cAe14444 # 4 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=1095 BNB, four.meme
0x51363F073b1E4920fdA7AA9E9d84BA97EdE1560e # BOB | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=950 BNB
0xc51A9250795c0186a6FB4A7D20A90330651e4444 # 我踏马来了 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=730 BNB, four.meme
0x6d5AD1592ed9D6D1dF9b93c793AB759573Ed6714 # Broccoli | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=450 BNB
0x3aC8e2c113D5D7824aC6ebe82a3c60b1B9D64444 # 客服小何 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=382 BNB, four.meme
0x44443dd87EC4d1bEa3425AcC118Adb023f07F91b # 修仙 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=331 BNB, four.meme
0x02e75d28A8AA2a0033b8cf866fCf0bB0E1eE4444 # PALU | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=314 BNB, four.meme
0xe92F7Fe3EAf61DF28b7B75f3FaAB199333c42302 # MAME | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=301 BNB
0x44440f83419DE123d7d411187aDb9962db017d03 # BNBHolder | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=289 BNB, four.meme
0x671ECbCb89EE3F85E2199294E723D309d98C4444 # 哭哭马 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=273 BNB, four.meme
0x232FB065D9d24c34708eeDbF03724f2e95ABE768 # SHEESHA | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=253 BNB
0x1a1E69F1e6182e2F8b9e8987E83C016ac9444444 # 人生K线 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=231 BNB, four.meme
0x1a5F9d77CA46646cD4937fD8d093F460B66F4444 # 老子 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=178 BNB, four.meme
0x86Bb94DdD16Efc8bc58e6b056e8df71D9e666429 # TST | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=156 BNB
0xf9C6e80e9A5807A1214a79449009b48104F94444 # 黑马 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=148 BNB, four.meme
0xD48474E7444727bF500a32D5AbE01943f3A59A64 # BBT | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=143 BNB
0x73b84F7E3901F39FC29F3704a03126D317Ab4444 # PUP | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=113 BNB, four.meme
0xA49fA5E8106E2d6d6a69E78df9B6A20AaB9c4444 # DONKEY | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=113 BNB, four.meme
0x4444B1e4De34Df52cF91E30cc7c0336Ee03D7c1B # meme rush | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=112 BNB, four.meme
0x925c8Ab7A9a8a148E87CD7f1EC7ECc3625864444 # DOYR | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=110 BNB, four.meme
0x44448aCa77cc60e77c90B6A60851b1BB843CC2ee # 奶龙 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=87 BNB, four.meme
0x932Fb7f52adBC34ff81B4342b8C036b7b8Ac4444 # Dust | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=81 BNB, four.meme
0x4AD663403df2F0E7987bC9C74561687472e1611C # FROG | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=75 BNB
0xcF640FDF9b3d9E45cbd69fDA91D7e22579c14444 # gorilla | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=69 BNB, four.meme
0xC9849E6fdB743d08fAeE3E34dd2D1bc69EA11a51 # BUNNY | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=66 BNB, du an cu (PancakeBunny) - kiem volume
0x444416A582466fDAE0f2Fcdf0A859675f8fF6e9f # MarsCoin | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=62 BNB, four.meme
0xE1E93E92C0c2Aff2dC4D7d4A8b250d973cAd4444 # 恶俗企鹅 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=53 BNB, four.meme
0x1eE098cBaF1f846d5Df1993f7e2d10AFb35A878d # SABLE | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=46 BNB
0xb77a1BD00D9C7FF5e15D70C7f78e4b80E18E4444 # 財務自由 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=44 BNB, four.meme
0x4444Bd221671F322671Bfdb3F33A653D2B7605c8 # 0x4444 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=43 BNB, four.meme
0xA524B11473b7Ce7EB1dc883A585e64471A734444 # JobIess | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=39 BNB, four.meme
0x640C04CA09c5C5140E62FEf42c59E3aFdBbd4444 # 我的刀盾 | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=39 BNB, four.meme
0x2789033DFE80593f69d689f65892a75aFA491111 # WM | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=33 BNB
0xeCCBb861c0dda7eFd964010085488B69317e4444 # 龙虾 | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=28262 ge_min=11927 vol_bnb=11390 reserve=2436bnb contract=Token
0x2A846AAaf896EF393cCb76398c1d96eA97374444 # BORT | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=27068 ge_min=9689 vol_bnb=12219 reserve=309bnb contract=Token
0xe210C0583C1071714EDed2d8bEEab05Ab5bB7777,0x55d398326f99059fF775485246999027B3197955 # BinanceTown | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=12203 ge_min=6076 vol_bnb=32367 reserve=116667usdt contract=Token
0x01FBEd06A70EB1b4A0B43Dbc6a94f99944CD7777,0x55d398326f99059fF775485246999027B3197955 # BNC | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=9654 ge_min=4905 vol_bnb=23685 reserve=98202usdt contract=Token
0xB391e9bEF634ADf52A0972fBD0943935e6097777,0x55d398326f99059fF775485246999027B3197955 # Sue | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=8348 ge_min=4175 vol_bnb=20210 reserve=30766usdt contract=Token
0xA3cfB853339b77F385B994799B015cB04b208Fe6,0x55d398326f99059fF775485246999027B3197955 # POP | vetted 2026-09-16 | tax 0/0 | owner active | swaps24h=7448 ge_min=2210 vol_bnb=1646 reserve=163509usdt contract=ZypherNetworkToken
0xEDeE16Bf89361506F3dA715AaE29B22f71992777 # OI | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=2030 ge_min=982 vol_bnb=231 reserve=183bnb contract=OiToken
0x7d03759E5B41E36899833cb2E008455d69A24444 # priceless | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=8120 ge_min=719 vol_bnb=240 reserve=74bnb contract=Token
0x198dBA421A7dB566A90DA5de7901AbE3443B4444 # 富贵 | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=1726 ge_min=498 vol_bnb=358 reserve=97bnb contract=Token
0x3dB1B406a4d50A841948765685ed42ed1f174444 # BRAD | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=4000 ge_min=404 vol_bnb=147 reserve=27bnb contract=Token
0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,0x55d398326f99059fF775485246999027B3197955 # Cake | vetted 2026-09-16 | tax 0/0 | owner active | swaps24h=1052 ge_min=397 vol_bnb=144 reserve=464348usdt contract=CakeToken
0xF3c35A84EF311C847CE4da33C3C31c57770B3760,0x55d398326f99059fF775485246999027B3197955 # POFD | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=2024 ge_min=380 vol_bnb=211 reserve=140704usdt contract=POFD
0xB82ce467e525F17ffb2B4C8786B6ebe06B66a5A2,0x55d398326f99059fF775485246999027B3197955 # AIX | vetted 2026-09-16 | tax 0/0 | owner none | swaps24h=2142 ge_min=314 vol_bnb=89 reserve=182675usdt contract=AIX
